;x
GV_CURBWGT;cart
GV_DVLAT;cart
GV_DVLONG;cart
GV_ENERGY;cart
GV_LANES;cart
GV_MODELYR;cart
GV_OTVEHWGT;cart
GV_SPLIMIT;cart
GV_WGTCDTR;cart
OA_AGE;cart
OA_BAGDEPLY;cart
OA_HEIGHT;cart
OA_MAIS;cart
OA_MANUSE;cart
OA_SEX;cart
OA_WEIGHT;cart
VE_GAD1;cart
VE_ORIGAVTW;cart
VE_WHEELBAS;cart
VE_PDOF_TR;cart
GV_FOOTPRINT;cart
